T1,P1,T2,T2s,P2,T3,P3,T4,T4s,P4,Wc,Wt,W_net,power_net,Qin,thermal_efficiency,exergy_destruction_compressor,exergy_destruction_turbine,exergy_destruction_compressor_specific,exergy_destruction_turbine_specific,exergy_rate_destruction_total,exergy_specific_destruction_total,second_law_efficiency,entropy_generation_compressor,entropy_generation_turbine,pressure_ratio
298.15,100000.0,374.97226000125215,363.4489210010643,200000.0,1400.0,190000.0,1188.8820643380993,1165.4245159312215,100000.0,77206.37130125843,212173.52534021018,134967.15403895173,1349671.5403895173,1030152.8786987416,0.13101662561913938,94405.11055833402,59807.87545545885,9440.511055833402,5980.787545545885,154212.98601379286,15421.298601379287,0.16674843260617742,31.468370186111343,19.935958485152952,2.0
298.15,100000.0,427.4903135239674,408.0892664953723,300000.0,1400.0,285000.0,1074.146241617394,1037.9402684637712,100000.0,129987.01509158728,327483.027174519,197496.01208293176,1974960.1208293177,977372.2349084128,0.2020683676382915,140504.58555124875,102929.20953454939,14050.458555124875,10292.920953454939,243433.79508579813,24343.379508579812,0.25717792244873466,46.834861850416246,34.30973651151646,3.0
298.15,100000.0,468.61964388962485,443.0491973061811,400000.0,1400.0,380000.0,1000.4350416588211,956.0389351764678,100000.0,171321.992109073,401562.7831328848,230240.79102381182,2302407.9102381184,936037.257890927,0.24597395999234994,169767.66604084987,136283.49041632804,16976.766604084987,13628.349041632804,306051.15645717795,30605.115645717793,0.31305776726299084,56.58922201361662,45.42783013877602,4.0
298.15,100000.0,502.93331335735934,472.21581635375543,500000.0,1400.0,475000.0,947.2898902129698,896.9887669032997,100000.0,205807.22992414614,454973.66033596534,249166.4304118192,2491664.304118192,901552.0200758539,0.2763749898656486,190699.4741821977,163836.11583887035,19069.94741821977,16383.611583887036,354535.59002106806,35453.559002106806,0.35174998710173466,63.566491394065906,54.61203861295678,5.0
298.15,100000.0,532.6398682260563,497.4663879921478,600000.0,1400.0,570000.0,906.3131896804018,851.4590996448909,100000.0,235662.31756718655,496155.2443711962,260492.92680400965,2604929.2680400964,871696.9324328135,0.2988342818610151,206745.26173696519,187490.98179378535,20674.52617369652,18749.098179378536,394236.2435307505,39423.62435307505,0.3803345405503829,68.91508724565506,62.496993931261784,6.0
298.15,100000.0,558.9923271382214,519.8659780674882,700000.0,1400.0,665000.0,873.2948694933879,814.7720772148755,100000.0,262146.5387739125,529338.6561591452,267192.11738523265,2671921.1738523263,845212.7112260875,0.31612411152411185,219616.54146127033,208323.04495005097,21961.65414612703,20832.304495005097,427939.5864113213,42793.95864113213,0.4023397783034151,73.20551382042345,69.44101498335033,7.0
298.15,100000.0,582.7770835300794,540.0830210005674,800000.0,1400.0,760000.0,845.8452862206357,784.2725402451508,100000.0,286050.2189477298,556925.4873482612,270875.2684005314,2708752.6840053136,821309.0310522702,0.32980919259280883,230278.06311611313,227004.12658905948,23027.80631161131,22700.41265890595,457282.1897051726,45728.218970517264,0.4197571542090294,76.7593543720377,75.66804219635316,8.0
298.15,100000.0,604.5233293692716,558.5673299638808,900000.0,1400.0,855000.0,822.4872026899641,758.3191140999601,100000.0,307905.19601611793,580400.3612965861,272495.1652804682,2724951.652804682,799454.0539838821,0.34085156479294304,239322.93184286426,243984.6393636667,23932.293184286427,24398.463936366672,483307.57120653096,48330.7571206531,0.4338110824637457,79.77431061428808,81.32821312122223,9.0
298.15,100000.0,624.605915137107,575.637527866541,1000000.0,1400.0,950000.0,802.2484394892236,735.8315994324707,100000.0,328088.1947127925,600740.3183133303,272652.1236005378,2726521.236005378,779271.0552872075,0.3498809839665472,247139.69647097087,259582.55853956245,24713.96964709709,25958.255853956245,506722.2550105333,50672.22550105333,0.4453030705028783,82.37989882365696,86.52751951318749,10.0
298.15,100000.0,643.3010274123963,591.5283733005368,1100000.0,1400.0,1045000.0,784.4577669436119,716.0641854929021,100000.0,346876.78254945826,618619.94422167,271743.1616722118,2717431.6167221176,760482.4674505418,0.35732994947695446,253995.59084996316,274031.4440012529,25399.559084996316,27403.14440012529,528027.034851216,52802.7034851216,0.45478357206157843,84.66519694998772,91.3438146670843,11.0
298.15,100000.0,660.8186111414229,606.4183194702096,1200000.0,1400.0,1140000.0,768.633803269821,698.4820036331345,100000.0,364481.95419713005,634523.0277138299,270041.07351669983,2700410.7351669986,742877.29580287,0.3635069681660563,260081.6269984647,287508.3317526502,26008.16269984647,28750.83317526502,547589.9587511149,54758.99587511149,0.4626452322113444,86.6938756661549,95.83611058421673,12.0
298.15,100000.0,677.3223595046271,620.446505578933,1300000.0,1400.0,1235000.0,754.4205038036968,682.6894486707741,100000.0,381068.2213021503,648807.3936772847,267739.1723751344,2677391.7237513443,726291.0286978497,0.368638963991002,265538.6707012125,300150.8891260744,26553.867070121247,30015.08891260744,565689.5598272869,56568.95598272869,0.4691768632612753,88.5128902337375,100.05029637535813,13.0
298.15,100000.0,692.9426183772146,633.7237256206323,1400000.0,1400.0,1330000.0,741.5477078244328,668.3863420271475,100000.0,396766.58146910067,661744.5536364451,264977.9721673444,2649779.721673444,710592.6685308993,0.37289713770220545,270473.33166183886,312068.464643289,27047.333166183886,31206.846464328897,582541.7963051279,58254.179630512794,0.47459635707553427,90.15777722061296,104.02282154776299,14.0
298.15,100000.0,707.7850381206363,646.3397824025409,1500000.0,1400.0,1425000.0,729.805957980829,655.3399533120323,100000.0,411683.2133112395,673545.0122292668,261861.7989180273,2618617.9891802734,695676.0366887605,0.3764134239328155,274968.07320276013,323349.48092437926,27496.807320276013,32334.948092437924,598317.5541271394,59831.75541271394,0.479071630459947,91.65602440092005,107.78316030812641,15.0
298.15,100000.0,721.9365611808166,658.3685770036941,1600000.0,1400.0,1520000.0,719.0298441581184,643.3664935090204,100000.0,425905.49398672074,684375.006621091,258469.5126343703,2584695.126343703,681453.7560132793,0.3792913464099148,279087.88065086026,334066.54099474556,27908.788065086024,33406.65409947456,613154.4216456058,61315.44216456058,0.4827344408853461,93.02929355028675,111.35551366491518,16.0
298.15,100000.0,735.4696793164233,669.8717274189597,1700000.0,1400.0,1615000.0,709.0866459014276,632.3184954460306,100000.0,439506.2777130054,694367.9208690653,254861.64315605996,2548616.4315605997,667852.9722869947,0.3816133995530665,282884.7968606574,344280.0521485198,28288.47968606574,34428.005214851975,627164.8490091772,62716.48490091772,0.4856897812493574,94.2949322868858,114.76001738283992,17.0
298.15,100000.0,748.4455317864793,680.9012020185073,1800000.0,1400.0,1710000.0,699.8683823893288,622.0759804325875,100000.0,452547.0094454117,703632.2756987246,251085.26625331288,2510852.6625331286,654812.2405545884,0.38344620137317237,286401.0896437975,354040.8585389822,28640.10896437975,35404.08585389822,640441.9481827797,64044.194818277974,0.48802243811131024,95.46702988126583,118.01361951299407,18.0
298.15,100000.0,760.9162062159447,691.501275283553,1900000.0,1400.0,1805000.0,691.2861192985253,612.5401325539169,100000.0,465080.0372470245,712257.4501049821,247177.41285795765,2471774.1285795765,642279.2127529755,0.3848441736086881,289671.515227774,363392.1929684839,28967.1515227774,36339.21929684839,653063.7081962579,65306.370819625794,0.4898016755019667,96.55717174259132,121.13073098949462,19.0
298.15,100000.0,772.9264780492028,701.7100063418225,2000000.0,1400.0,1900000.0,683.2658093738949,603.6286770821055,100000.0,477150.36043944885,720317.8615792356,243167.5011397868,2431675.011397868,630208.8895605511,0.38585222323561497,292724.96874006506,372371.15005778027,29272.496874006505,37237.115005778025,665096.1187978453,66509.61187978453,0.491084647754419,97.57498958002168,124.12371668592675,20.0
298.15,100000.0,784.5151465032824,711.56037452779,2100000.0,1400.0,1995000.0,675.7451991252822,595.2724434725358,100000.0,488796.97223579884,727876.0748790915,239079.10264329263,2390791.0264329263,618562.2777642012,0.3865077312949735,295585.7094459327,381009.8159320612,29558.57094459327,38100.98159320612,676595.5253779939,67659.55253779939,0.4919189307390572,98.5285698153109,127.00327197735373,21.0
298.15,100000.0,795.7160751796662,721.0811639027163,2200000.0,1400.0,2090000.0,668.6714916775752,587.4127685306391,100000.0,500053.9055555645,734985.1508640369,234931.24530847237,2349312.4530847236,607305.3444444354,0.38684205146158906,298274.28493709303,389336.14685465646,29827.428493709303,38933.61468546565,687610.4317917496,68761.04317917496,0.4923444291329315,99.42476164569769,129.77871561821883,22.0
298.15,100000.0,806.5590129472108,730.2976610051292,2300000.0,1400.0,2185000.0,661.9995556556681,579.9995062840757,100000.0,510951.0580119469,741690.4465660535,230739.38855410664,2307393.8855410665,596408.1919880531,0.3868816553055137,300808.2383001779,397374.66133938415,30080.82383001779,39737.46613393842,698182.899639562,69818.2899639562,0.4923948340251993,100.26941276672596,132.45822044646138,23.0
298.15,100000.0,817.0702489340201,739.2322115939171,2400000.0,1400.0,2280000.0,655.6905348037841,572.9894831153157,100000.0,521514.8501786903,748031.012522197,226516.1623435067,2265161.623435067,585844.3998213097,0.386649018771191,303202.6562699776,405146.99162985105,30320.265626997763,40514.6991629851,708349.6478998286,70834.96478998286,0.49209875116333396,101.06755208999255,135.04899720995036,24.0
298.15,100000.0,827.2731406009361,747.9046695107957,2500000.0,1400.0,2375000.0,649.710756038472,566.3452844871912,100000.0,531768.7563039408,754040.6901813357,222271.93387739488,2222719.338773949,575590.4936960592,0.38616331630168593,305470.5991394617,412672.32772254467,30547.05991394617,41267.232772254465,718142.9268620063,71814.29268620063,0.4914805843839639,101.82353304648723,137.55744257418155,25.0
